,ds,y,rain,snow,main,time_lost,before_lag,nb_vehic_avail
706049,2020-11-20 00:00:00,28,0.93,0.0,6,0.0,0,4095.0
706050,2020-11-20 01:00:00,15,0.25,0.0,6,0.0,0,4095.0
706051,2020-11-20 02:00:00,17,0.5,0.0,6,0.0,0,4095.0
706052,2020-11-20 03:00:00,12,0.0,0.0,0,0.0,0,4095.0
706053,2020-11-20 04:00:00,6,0.0,0.0,6,0.0,0,4095.0
706054,2020-11-20 05:00:00,15,0.0,0.0,1,0.0,0,4095.0
706055,2020-11-20 06:00:00,24,0.0,0.0,0,0.0,0,4095.0
706056,2020-11-20 07:00:00,104,0.0,0.0,5,0.0,0,4095.0
706057,2020-11-20 08:00:00,316,0.0,0.0,3,0.0,0,4095.0
706058,2020-11-20 09:00:00,268,0.0,0.0,1,0.0,0,4095.0
706059,2020-11-20 10:00:00,164,0.25,0.0,6,0.0,0,4095.0
706060,2020-11-20 11:00:00,208,0.0,0.0,1,0.0,0,4095.0
706061,2020-11-20 12:00:00,225,0.0,0.0,0,0.0,0,4095.0
706062,2020-11-20 13:00:00,263,0.0,0.0,0,0.0,0,4095.0
706063,2020-11-20 14:00:00,250,0.0,0.0,0,0.0,0,4095.0
706064,2020-11-20 15:00:00,254,0.0,0.0,1,0.0,0,4095.0
706065,2020-11-20 16:00:00,289,0.0,0.0,6,0.0,0,4095.0
706066,2020-11-20 17:00:00,299,0.0,0.0,1,0.0,0,4095.0
706067,2020-11-20 18:00:00,268,0.0,0.0,0,0.0,0,4095.0
706068,2020-11-20 19:00:00,269,0.0,0.0,0,0.0,0,4095.0
706069,2020-11-20 20:00:00,185,0.0,0.0,0,0.0,0,4095.0
706070,2020-11-20 21:00:00,94,0.0,0.0,1,0.0,0,4095.0
706071,2020-11-20 22:00:00,60,0.0,0.0,1,0.0,0,4095.0
706072,2020-11-20 23:00:00,56,0.0,0.0,1,0.0,0,4095.0
706073,2020-11-21 00:00:00,51,0.0,0.0,0,0.0,0,4207.0
706074,2020-11-21 01:00:00,43,0.0,0.0,0,0.0,0,4207.0
706075,2020-11-21 02:00:00,36,0.0,0.0,0,0.0,0,4207.0
706076,2020-11-21 03:00:00,18,0.0,0.0,1,0.0,0,4207.0
706077,2020-11-21 04:00:00,26,0.0,0.0,1,0.0,0,4207.0
706078,2020-11-21 05:00:00,12,0.0,0.0,1,0.0,0,4207.0
706079,2020-11-21 06:00:00,12,0.0,0.0,0,0.0,0,4207.0
706080,2020-11-21 07:00:00,38,0.0,0.0,0,0.0,0,4207.0
706081,2020-11-21 08:00:00,49,0.0,0.0,0,0.0,0,4207.0
706082,2020-11-21 09:00:00,91,0.0,0.0,1,0.0,0,4207.0
706083,2020-11-21 10:00:00,101,0.0,0.0,1,0.0,0,4207.0
706084,2020-11-21 11:00:00,134,0.0,0.0,1,0.0,0,4207.0
706085,2020-11-21 12:00:00,160,0.0,0.0,0,0.0,0,4207.0
706086,2020-11-21 13:00:00,234,0.0,0.0,0,0.0,0,4207.0
706087,2020-11-21 14:00:00,236,0.0,0.0,0,0.0,0,4207.0
706088,2020-11-21 15:00:00,274,0.0,0.0,1,0.0,0,4207.0
706089,2020-11-21 16:00:00,216,0.0,0.0,1,0.0,0,4207.0
706090,2020-11-21 17:00:00,244,0.0,0.0,1,0.0,0,4207.0
706091,2020-11-21 18:00:00,221,0.0,0.0,0,0.0,0,4207.0
706092,2020-11-21 19:00:00,192,0.0,0.0,0,0.0,0,4207.0
706093,2020-11-21 20:00:00,169,0.0,0.0,0,0.0,0,4207.0
706094,2020-11-21 21:00:00,99,0.0,0.0,1,0.0,0,4207.0
706095,2020-11-21 22:00:00,74,0.0,0.0,1,0.0,0,4207.0
706096,2020-11-21 23:00:00,60,0.0,0.0,1,0.0,0,4207.0
706097,2020-11-22 00:00:00,51,0.0,0.0,0,0.0,0,4269.0
706098,2020-11-22 01:00:00,65,0.0,0.0,0,0.0,0,4269.0
706099,2020-11-22 02:00:00,30,0.0,0.0,0,0.0,0,4269.0
