,ds,y,rain,snow,main,time_lost,before_lag,nb_vehic_avail
281288,2022-06-22 06:00:00,2,0.0,0.0,0,0.0,0,113.0
281289,2022-06-22 07:00:00,0,0.0,0.0,0,0.0,0,113.0
281290,2022-06-22 08:00:00,2,0.0,0.0,0,0.0,0,113.0
281291,2022-06-22 09:00:00,6,0.0,0.0,0,0.0,0,113.0
281292,2022-06-22 10:00:00,4,0.0,0.0,0,0.0,0,113.0
281293,2022-06-22 11:00:00,1,0.0,0.0,0,0.0,0,113.0
281294,2022-06-22 12:00:00,5,0.0,0.0,0,0.0,0,113.0
281295,2022-06-22 13:00:00,7,0.0,0.0,0,0.0,0,113.0
281296,2022-06-22 14:00:00,5,0.0,0.0,0,0.0,0,113.0
281297,2022-06-22 15:00:00,12,0.0,0.0,0,0.0,0,113.0
281298,2022-06-22 16:00:00,20,0.0,0.0,0,0.0,0,113.0
281299,2022-06-22 17:00:00,12,0.0,0.0,0,0.0,0,113.0
281300,2022-06-22 18:00:00,23,0.0,0.0,0,0.0,0,113.0
281301,2022-06-22 19:00:00,12,0.0,0.0,0,0.0,0,113.0
281302,2022-06-22 20:00:00,35,0.0,0.0,0,0.0,0,113.0
281303,2022-06-22 21:00:00,31,0.0,0.0,0,0.0,0,113.0
281304,2022-06-22 22:00:00,18,0.0,0.0,0,0.0,0,113.0
281305,2022-06-22 23:00:00,10,0.0,0.0,0,0.0,0,113.0
281306,2022-06-23 00:00:00,5,0.0,0.0,0,0.0,0,0.0
281307,2022-06-23 01:00:00,4,0.0,0.0,0,0.0,0,0.0
281308,2022-06-23 02:00:00,0,0.0,0.0,0,0.0,0,0.0
281309,2022-06-23 03:00:00,1,0.0,0.0,0,0.0,0,0.0
281310,2022-06-23 04:00:00,1,0.0,0.0,0,0.0,0,0.0
281311,2022-06-23 05:00:00,0,0.0,0.0,0,0.0,0,0.0
281312,2022-06-23 06:00:00,2,0.0,0.0,0,0.0,0,0.0
281313,2022-06-23 07:00:00,8,0.0,0.0,0,0.0,0,0.0
281314,2022-06-23 08:00:00,10,0.0,0.0,0,0.0,0,0.0
281315,2022-06-23 09:00:00,10,0.0,0.0,0,0.0,0,0.0
281316,2022-06-23 10:00:00,15,0.0,0.0,1,0.0,0,0.0
281317,2022-06-23 11:00:00,10,0.0,0.0,1,0.0,0,0.0
